年月,總計,占全體企業放款餘額之比率,占民營企業放款餘額之比率,中小企業放款平均逾放比,臺灣銀行,臺灣土地銀行,合作金庫銀行,第一商業銀行,華南商業銀行,彰化商業銀行,上海商業儲蓄銀行,台北富邦銀行,國泰世華商業銀行,中國輸出入銀行,高雄銀行,兆豐國際商業銀行,花旗(台灣)銀行,澳盛銀行,中華開發工業銀行,王道商業銀行,臺灣中小企業銀行,渣打國際商業銀行,台中商業銀行,京城商業銀行,匯豐(台灣)銀行,瑞興商業銀行,華泰商業銀行,臺灣新光商業銀行,陽信商業銀行,板信商業銀行,三信商業銀行,聯邦商業銀行,遠東國際商業銀行,元大商業銀行,永豐商業銀行,玉山商業銀行,凱基商業銀行,星展(台灣)銀行,台新國際商業銀行,大眾商業銀行,日盛國際商業銀行,安泰商業銀行,中國信託商業銀行,樂天銀行
104年11月,"5,416,304",57.50%,60.90%,0.41%,"340,334","346,006","558,766","588,046","426,010","380,055","167,840","112,088","123,445","7,247","49,855","396,007","7,713","1,148",0,"4,116","450,358","13,482","161,863","40,518","2,146","7,317","28,595","125,354","85,638","41,069","21,752","45,305","18,230","105,035","132,721","264,365","11,531","12,965","98,114","32,875","22,309","34,794","151,292",
104年12月,"5,456,239",57.89%,61.34%,0.40%,"338,494","343,130","561,766","608,231","430,241","385,264","172,915","116,737","118,841","7,913","49,721","400,830","7,161",948,0,"3,438","457,910","12,642","164,927","40,674","1,607","7,669","29,804","121,469","86,183","41,253","21,784","44,176","18,045","105,114","131,690","264,032","11,569","12,273","99,374","32,704","22,977","32,483","150,250",
105年1月,"5,393,281",57.82%,61.12%,0.44%,"334,840","343,150","556,536","589,843","425,983","377,972","168,277","115,938","118,017","7,771","48,607","395,907","7,105",749,0,"3,727","440,877","12,493","165,773","41,112","1,629","7,565","31,410","119,186","89,460","41,796","21,935","44,676","17,706","106,333","131,432","259,543","11,516","10,908","99,820","34,710","22,691","32,017","154,271",
105年2月,"5,387,877",57.88%,61.01%,0.46%,"330,736","341,848","562,857","585,297","425,454","378,158","168,319","115,003","118,830","7,651","48,313","393,439","7,338",835,0,"3,726","439,149","12,366","166,206","40,625","1,545","7,725","31,429","119,461","90,872","41,969","22,140","44,910","18,263","108,116","130,685","254,812","11,962","10,408","101,278","34,477","23,052","32,400","156,223",
105年3月,"5,419,874",57.89%,61.02%,0.46%,"329,319","341,557","565,097","595,086","430,511","380,194","167,617","114,200","119,109","7,467","48,459","397,074","7,340",660,0,"3,855","442,158","11,795","165,208","39,703","1,306","7,795","31,314","118,031","90,707","42,867","22,566","45,542","17,394","108,236","135,520","259,961","13,110","9,501","101,556","35,603","23,095","31,957","157,404",
105年4月,"5,426,647",58.57%,61.71%,0.48%,"330,318","341,302","565,316","597,635","433,495","377,534","170,898","115,879","119,295","7,557","48,646","394,570","7,530",572,0,"3,813","437,284","11,522","167,158","40,485","1,230","7,698","31,271","118,570","93,126","43,168","22,576","46,356","18,043","106,318","134,079","259,309","12,791","8,740","101,018","36,139","23,569","31,730","160,107",
105年5月,"5,482,774",58.48%,61.50%,0.48%,"334,940","344,611","566,405","605,289","435,818","376,767","173,569","118,178","122,126","7,458","48,699","397,713","7,660",524,0,"4,053","441,596","11,423","169,424","40,902","1,168","7,252","31,827","119,365","94,938","46,061","23,321","47,919","18,212","106,210","137,126","264,238","12,592","8,421","105,301","35,916","23,699","31,277","160,776",
105年6月,"5,544,618",58.73%,61.74%,0.47%,"333,848","340,070","566,241","610,568","440,045","396,424","174,254","121,937","122,606","7,306","50,377","407,230","7,254",448,0,"4,131","450,664","10,565","172,656","41,769","1,178","7,447","32,618","121,859","96,086","46,176","23,548","48,523","18,935","105,731","140,320","266,043","12,148","7,978","107,991","35,125","23,680","31,493","159,346",
105年7月,"5,512,656",58.27%,61.21%,0.49%,"331,095","333,530","563,561","614,838","436,794","385,307","175,026","121,900","121,527","7,133","50,705","408,742","7,038",439,0,"4,085","425,298","10,688","174,532","41,839","1,365","7,550","32,702","119,521","96,257","46,321","23,774","49,779","20,548","104,766","143,740","270,324","12,329","16,396","103,453","34,323","22,618","30,284","162,529",
105年8月,"5,534,713",57.79%,60.65%,0.47%,"331,017","333,500","562,081","620,694","440,480","382,183","175,747","123,246","121,412","7,170","52,007","416,576","6,729",365,0,"3,625","420,200","10,723","173,441","41,470","1,458","7,530","33,031","117,345","95,617","46,077","24,313","49,799","21,329","104,997","145,894","276,395","12,633","21,676","103,602","34,769","22,421","31,472","161,689",
105年9月,"5,559,452",57.93%,60.72%,0.48%,"330,662","333,706","564,385","625,085","443,211","381,275","175,417","123,840","123,901","8,044","51,786","417,346","6,215",338,0,"3,771","423,006","10,677","173,138","45,319","1,449","7,519","32,539","118,464","96,692","45,154","24,418","47,325","21,473","106,388","145,675","281,454","12,698","22,025","105,270","35,143","22,625","31,932","160,087",
105年10月,"5,582,519",58.15%,60.90%,0.50%,"333,189","336,749","568,111","628,880","445,818","387,068","176,145","123,586","124,040","7,870","51,104","412,414","5,904",338,0,"3,893","420,923","10,701","173,154","45,492","1,273","7,560","32,159","116,444","96,687","45,386","24,650","47,584","21,494","106,065","145,927","285,670","12,929","23,781","108,195","34,799","22,817","31,426","162,294",
105年11月,"5,608,112",58.23%,61.02%,0.48%,"335,504","338,142","569,587","637,643","446,015","388,607","175,373","122,509","126,491","7,446","51,966","409,536","5,854",28,0,"3,781","421,333","10,540","176,318","45,605",849,"7,622","32,131","118,722","98,950","45,583","25,184","47,082","21,422","106,623","147,140","289,431","14,058","23,578","107,731","34,394","22,972","31,272","161,090",
105年12月,"5,735,472",58.83%,61.60%,0.44%,"344,394","339,905","580,997","647,774","458,621","408,330","182,848","123,159","130,895","7,082","53,603","421,410","5,362",28,0,"3,589","432,831","10,321","177,488","46,723",752,"7,849","30,814","121,341","100,930","44,138","25,645","47,005","22,533","113,035","143,398","295,034","14,536","26,292","107,641","37,641","23,458","31,252","166,818",
106年1月,"5,703,101",58.73%,61.49%,0.43%,340161,337714,580852,638163,448430,408125,182762,123274,131172,7229,52163,416316,5073,22,0,3648,418535,10221,175696,47311,932,7670,31526,120768,101870,43788,25942,47917,23782,113373,144821,296653,14924,27016,112034,37441,24830,30321,170626,
106年2月,"5,721,218",58.90%,61.64%,0.45%,337596,344003,583001,640074,447835,405873,184619,122269,131778,7371,53525,419161,5350,22,-,4379,418033,9816,175522,47328,759,7677,31190,120220,102383,43972,25984,47780,23772,113824,143840,296969,15402,27581,113674,37431,26628,31708,172869,
106年3月,"5,746,671",59.13%,61.87%,0.44%,336493,338529,585832,643545,449233,412311,185432,125050,134731,7306,53209,416957,4986,20,-,4757,423227,9370,175901,49548,820,7994,31168,120080,103781,44161,26625,48238,24627,114882,144996,300578,15635,28728,111619,36737,27457,32030,170078,
106年4月,5769342,59.19%,61.89%,0.46%,336302,340901,586012,644836,453612,411195,187677,126381,134377,7294,53369,418700,5068,20,-,4884,422050,9440,176020,49201,954,8107,30702,118992,103392,45174,26848,48759,25217,114400,145629,305612,15759,28704,112936,36816,27383,31799,174819,
106年5月,5826139,59.12%,61.80%,0.46%,336656,342209,592787,646082,463665,416085,190648,125702,135358,7326,53633,427195,5367,20,-,5075,424514,7201,177226,49278,1108,8409,30768,119518,104905,46575,27003,49681,25334,113999,147815,313773,16412,28556,112759,36209,27560,31741,177985,
106年6月,5869274,59.68%,62.35%,0.45%,337565,345726,593460,647833,465953,414477,192613,127623,136747,7444,53430,432034,5930,6,-,5607,434453,7161,177240,51955,1051,8890,30851,122100,108301,45881,26989,49858,25314,114458,146380,315094,17075,28592,116012,36841,28212,34156,175963,
106年7月,5882917,59.60%,62.31%,0.45%,337592,348224,589901,648231,469757,418156,193544,126722,138364,7668,54325,427728,5887,6,-,6779,432506,7177,175573,52800,993,8907,30634,118070,110454,45826,27226,50688,25532,113484,146723,320741,17715,29183,116759,35053,28919,34923,180148,
106年8月,5921878,59.17%,61.84%,0.45%,336313,353808,593995,650745,472651,423797,195224,126502,138975,7437,54652,430682,6361,6,-,6836,439540,6931,175013,54389,1002,8916,30323,117551,110730,45802,27339,51551,25500,113233,149704,323105,18210,30008,118116,34727,29255,30542,182407,
106年9月,5957406,59.56%,62.21%,0.44%,334718,356355,598964,655435,471964,425111,195299,128608,138078,7733,54769,432257,6648,6,-,7044,448045,6327,175693,55262,898,8969,30076,117756,111217,45199,27426,53600,25856,113869,150424,324088,19361,31079,122076,35079,29958,31690,180471,
106年10月,5984122,59.47%,62.11%,0.47%,333892,357577,600673,656761,471909,423082,197541,130696,138973,7797,55136,438293,6763,5,-,7616,449669,6562,174870,58264,1034,8999,29281,118656,112960,45360,27705,54943,26551,110041,150001,325635,19635,31006,125705,33119,29337,32190,185884,
106年11月,6030176,59.81%,62.44%,0.47%,334306,363854,602774,656972,474116,422603,199070,130316,151565,7653,55853,443896,6648,5,-,7410,453117,7524,174733,60360,1153,9295,28959,118411,115165,45195,27796,55037,26802,110985,149238,330014,19669,30819,129040,30988,30343,30721,187769,
106年12月,6102430,60.66%,63.28%,0.44%,338447,369711,603965,657842,487493,429598,200209,131325,151919,7356,56993,459494,5739,0,-,8672,467574,7807,176878,63411,1274,9826,28585,119200,117705,45281,28014,57172,27596,112199,145969,328376,19044,30340,131351,30050,30141,31591,184285,
107年1月,6077787,60.44%,63.07%,0.47%,335767,364247,602595,652046,473467,423999,199206,128374,153930,7250,56949,457015,5908,0,-,8573,464771,7813,175114,64500,1314,10375,27781,116596,119156,45192,27631,57454,28367,144772,149604,330733,19406,31278,133993,-,30110,32251,190251,
107年2月,6111725,60.61%,63.28%,0.48%,337577,367531,600989,652252,475124,424287,201089,127040,154990,6837,56849,463643,6208,0,-,8671,468594,7780,175677,65726,1292,10506,28325,117284,121021,46140,27487,59078,28491,144650,148438,334527,19471,31449,134684,-,31234,31466,195315,
107年3月,6139685,60.65%,63.31%,0.48%,335856,371257,604649,653176,474177,430466,198690,131126,157389,6694,56261,466533,6383,0,-,9202,471875,7801,174967,68379,1449,11012,28717,117956,122095,45981,27811,60142,29094,143591,147789,337956,19801,32038,135048,-,31537,32154,190631,
107年4月,6169864,60.90%,63.61%,0.48%,335925,372218,610366,654395,473578,431046,197630,132686,163098,6869,55996,464297,6757,0,-,10661,474203,7812,177434,70797,1381,11046,28615,117386,121429,47069,28004,60715,26868,142355,148420,338285,19441,32204,136231,-,32700,32811,199135,
107年5月,6227349,60.60%,63.29%,0.48%,339394,376169,611421,662338,475980,437449,202142,138313,166954,7068,56231,463864,7242,0,-,10840,475243,7787,180109,74663,1368,10847,28998,118840,122148,51387,28593,61769,27736,141127,149765,341191,20326,33414,134637,-,31563,30766,199666,
107年6月,6289883,60.99%,63.73%,0.50%,343382,383294,613798,665877,488272,439302,203488,141119,167182,7030,56027,471264,7115,0,-,15384,482226,7570,181517,76786,1415,11062,28831,121183,124182,51209,28994,62035,31882,140275,149873,341963,20596,33631,133898,-,33003,30374,194846,
107年7月,6274287,61.01%,63.76%,0.50%,338144,382644,617913,660733,478882,436452,202019,141821,168725,6853,56186,465477,7105,0,-,15693,480330,7385,183912,78116,1590,11203,28463,120856,125523,51572,28913,62409,31499,138155,154433,341808,20585,33306,132147,-,32201,30553,200680,
107年8月,6255435,60.23%,62.94%,0.45%,338487,381930,617817,657214,473523,432822,201380,141717,171446,7270,54848,460498,6860,0,-,15995,477868,7143,182925,78237,1596,11522,29030,119013,126539,50576,29010,63205,29558,135844,154161,343564,20605,33477,132593,-,31744,30528,204890,
107年9月,6296618,60.36%,63.04%,0.45%,344719,384476,614240,663348,474747,437630,202292,144520,173440,7515,55036,460567,7797,0,-,15198,485171,7040,183080,78981,1526,12419,29478,118371,126501,50277,29208,63661,29049,136900,156175,343378,20364,33952,134823,-,32247,29638,208854,
107年10月,6337153,60.54%,63.23%,0.46%,346326,390575,616668,664767,476096,440868,202537,145824,174309,7435,55835,463486,8077,0,-,15759,489671,7347,184367,81639,1465,12502,29545,119310,128086,50624,29425,64931,28975,137140,157485,342417,21265,34231,133870,-,31206,29578,213512,
107年11月,6374612,60.39%,63.09%,0.46%,346406,392530,620188,670379,479515,444758,206226,143948,176177,7496,56404,463481,8091,0,-,16224,492395,7222,185086,82217,1441,12477,31430,115918,129674,51122,29236,65260,28446,135424,161010,345624,22243,34106,135795,-,32671,29374,214619,
107年12月,6438007,60.75%,63.63%,0.43%,351481,400669,624096,672343,490005,445582,206366,150443,178092,7361,56995,474671,7667,0,-,16018,499040,7257,184136,78325,1262,12357,32491,116683,129782,51157,29413,65540,32241,137443,165319,347339,24045,33818,138328,-,32101,27181,210961,
108年1月,6436332,60.51%,63.43%,0.45%,343304,402863,627934,669917,479130,434993,205191,149936,180440,7211,58328,462729,8128,0,-,16674,497674,7135,181230,78083,6811,12244,34152,116616,132076,51759,29970,65743,32576,137491,170721,346023,28444,33764,143707,-,32387,26170,224777,
108年2月,6428392,60.82%,63.78%,0.48%,341020,405618,628195,667549,472511,437714,202399,148779,182838,7289,58158,461581,7760,0,-,16868,501385,7009,181649,79062,6996,12319,35398,115000,131031,52328,30228,66608,30382,137367,169925,346036,28582,32186,144156,-,32597,25496,224374,
108年3月,6437550,61.13%,64.04%,0.44%,345546,410390,630480,669693,471779,435571,199984,146714,183950,6119,59250,465437,7440,0,-,16891,506439,6829,178215,78573,7393,12464,34181,117626,133365,54253,30327,67643,27585,138013,171338,345423,28798,32247,141872,-,32000,26633,217089,
108年4月,6463305,61.72%,64.49%,0.43%,344551,410330,634508,670877,470760,434545,203162,150178,193490,6181,59407,463801,7600,0,-,17169,507999,6502,175606,78025,7973,12719,35038,115771,135643,53500,30508,67853,27197,138756,170246,346685,28981,32645,142979,-,33024,26544,222553,
108年5月,6519719,61.55%,64.28%,0.41%,339506,437562,638684,673817,477161,436097,202733,149541,189590,6590,58544,469446,7526,0,-,18865,510296,6505,172239,76401,8009,13289,34986,115900,136122,54541,30734,69151,27221,136148,176259,352237,28787,31704,147989,-,33087,26958,225496,
108年6月,6597651,61.67%,64.52%,0.39%,344488,443371,635745,674677,487552,441751,209079,163959,197422,6462,57952,484140,4816,0,-,21867,512770,6478,172185,79337,7830,13420,35419,117716,139530,54366,31378,70325,27887,139496,177660,350901,28289,31490,148866,-,33679,28788,216562,
108年7月,6598473,61.40%,64.15%,0.41%,347892,443885,637388,676155,481570,443754,210764,161068,196752,5948,58007,471858,5583,-,-,20548,515829,6614,171590,79048,8088,13693,34246,117751,143982,55158,31918,71436,28020,138181,176534,354301,28204,30977,150574,-,33620,25628,221911,
108年8月,6630183,61.26%,64.10%,0.40%,352465,447839,638633,676753,487449,445022,211463,162425,199093,5837,56841,473836,5390,-,-,20405,517149,6619,170463,82588,7650,13926,33865,117515,145171,55878,31676,71370,28357,135908,180676,352198,28015,30964,152673,-,34518,26114,223439,
108年9月,6683448,61.50%,64.36%,0.39%,358895,455316,642966,680575,496172,446612,212448,165236,207318,5856,56607,474547,5314,-,-,20325,518693,6504,170839,81988,8158,14163,33279,115956,146836,56354,31636,71306,27501,136724,186151,357378,28215,30850,152064,-,34588,26957,219117,
108年10月,6745250,61.54%,64.36%,0.39%,358875,458683,646826,686788,501454,446460,211858,170256,210344,6350,56748,484857,4911,-,-,20384,523374,6456,172960,82837,8667,13700,32706,118701,150110,57148,31468,72509,26982,137664,190943,357624,28080,30285,151109,-,34879,26199,226057,
108年11月,6794753,61.74%,64.48%,0.36%,358945,459924,656985,692294,515737,447337,212981,169883,210063,6418,56281,490474,4838,-,-,20451,524284,6399,175309,82698,8244,13837,32764,120286,152175,57766,31078,73286,27696,140648,186975,360903,28595,28966,152367,-,35292,25665,226908,
108年12月,6897940,62.87%,65.61%,0.34%,364255,461352,667832,700745,534864,457087,215664,171010,209404,7178,57436,504251,4631,-,-,20602,533933,6029,175593,84712,6910,13978,32569,123781,156844,58083,30868,74853,27032,143796,181528,366247,29346,29533,161908,-,35068,26829,222187,
109年1月,6888987,62.31%,65.04%,0.37%,359803,464404,674187,691883,522703,459991,213064,173225,206709,7196,57331,495505,5467,-,-,20997,530232,6074,172672,85278,7210,14289,31495,122327,158900,57686,30603,75934,26776,145295,189636,367901,29412,29733,163099,-,35013,25730,231226,
109年2月,6923685,62.48%,65.04%,0.39%,358192,461814,678544,699281,528866,456861,213254,173028,204782,6738,57502,488080,5782,-,-,20615,533361,6061,173709,84842,7194,14462,31871,123355,161160,60091,30268,77153,33591,145606,193303,371881,30603,30396,163565,-,34818,24501,238555,
109年3月,7003601,62.66%,65.22%,0.40%,365469,470255,685772,712539,535366,463738,217061,178125,206339,6674,56703,495449,5665,-,-,22447,537880,6123,175180,87673,6836,14363,32884,125761,163244,59393,30177,78160,34684,144775,197777,375101,30951,30723,167456,-,35720,25404,221733,
109年4月,7056658,62.73%,65.17%,0.41%,365624,474610,693697,716825,533212,464024,218871,179591,206372,7070,56954,494108,6074,-,-,21994,542567,6096,175711,90548,6764,14375,34122,127694,163362,58795,30001,79405,36206,145261,201257,379271,33569,30218,168239,-,36022,24854,233297,
109年5月,7127811,63.11%,65.48%,0.40%,366903,484018,701817,722437,539910,461092,220310,182757,207927,7438,57084,496086,6229,-,-,22947,552921,6135,177658,92047,6578,14640,35836,127758,164836,58421,29907,79183,36230,146666,204576,387217,34270,29866,171210,-,35386,24377,235139,
109年6月,7244107,63.90%,66.26%,0.40%,377724,490594,711053,729418,562044,469267,221086,187237,205105,8346,58428,503010,6415,,,22725,563756,6312,178881,93948,6506,14816,36460,130818,166644,58241,29958,81443,37384,148250,213191,390435,36176,29398,172250,,35763,24536,236491,
109年7月,7392961,64.49%,66.79%,0.39%,381048,500095,731971,734635,565403,471671,228131,191160,208127,8531,57979,514113,6549,,,23701,581256,6486,185827,95298,6475,14855,36862,131666,168869,58378,30053,86160,37596,150032,219102,408045,37649,29053,174257,,36373,26749,248808,
109年8月,7460519,64.43%,66.68%,0.37%,382989,505279,736466,740589,572917,479644,231432,192689,208737,9075,59353,514906,6311,,,24288,587420,6583,184488,97727,6325,14941,36746,132534,171097,58747,29315,86941,37555,148760,220260,410591,37725,28614,183264,,34622,26738,254851,
109年9月,7515670,65.11%,67.33%,0.36%,389081,509646,746801,758017,579679,482317,231906,198112,211481,8883,59542,517173,6044,-,-,23925,595018,6745,182455,98552,6438,15029,37876,132203,173238,60196,29616,87414,37486,147960,216081,413930,37589,28960,184325,-,36386,25721,239848,
109年10月,7602355,65.22%,67.43%,0.39%,398025,514732,750888,767869,582036,479777,232983,198831,217102,8878,59742,518316,5918,-,-,25279,603566,6786,182713,105572,6680,14977,36928,131821,172782,61572,29626,89721,37383,148205,221557,418994,37577,28698,190469,-,37666,25906,252781,
109年11月,"7,680,280",65.81%,68.00%,0.36%,"402,587","516,657","756,923","777,742","585,319","480,838","235,990","203,273","221,072","9,170","60,573","527,628","5,992",,,"22,608","607,858","6,936","183,110","107,658","6,539","15,056","36,813","139,729","172,759","64,755","30,121","89,953","38,898","146,546","228,519","423,437","37,753","28,241","188,339",,"40,746","28,421","251,723",
109年12月,"7,812,428",67.02%,69.08%,0.34%,"414,593","530,750","762,395","791,037","598,278","486,652","236,745","206,336","228,383","8,720","60,783","533,601","6,284",,,"23,516","623,404","7,120","183,349","113,426","7,325","14,930","38,285","142,799","177,275","66,405","30,726","91,695","37,475","148,366","224,915","429,232","38,513","27,927","208,928",,"40,832","31,728","239,699",
110年1月,"7,843,416",66.86%,68.84%,0.34%,"410,491","531,373","765,419","785,930","594,359","486,358","235,163","203,972","239,890","8,718","60,913","533,347","6,254",-,-,"23,736","626,125","6,894","183,939","110,066","7,087","15,033","39,031","139,920","180,029","67,398","31,344","95,164","37,823","148,279","232,146","427,564","39,857","26,414","217,662",,"40,923","31,183","253,611",
110年2月,"7,896,880",66.88%,68.83%,0.34%,"412,682","535,007","770,103","783,493","600,855","488,358","234,146","208,846","243,471","8,650","61,621","535,265","7,140",-,-,"24,883","631,273","6,918","185,765","111,084","7,030","14,832","39,647","141,160","181,746","67,295","31,957","96,017","38,812","148,848","233,680","428,842","39,851","26,144","219,364",-,"41,570","32,451","258,076",
110年3月,"7,965,869",67.13%,69.06%,0.34%,"414,422","539,855","772,656","793,587","616,111","493,619","233,545","209,177","247,188","8,984","61,468","550,531","6,439",,,"25,342","633,866","6,915","188,355","112,030","7,282","14,959","42,493","141,949","181,852","68,872","32,502","95,379","39,296","150,005","237,295","430,841","39,963","25,638","218,208",,"41,703","32,152","251,391",
110年4月,"8,004,466",67.39%,69.30%,0.34%,"408,092","546,593","779,855","791,060","620,938","496,847","231,198","212,157","247,638","8,854","62,467","540,764","6,642",,,"26,142","637,089","6,948","188,552","115,819","7,227","15,000","44,464","143,065","182,433","70,093","32,633","95,437","41,668","151,918","242,262","435,918","39,686","24,879","219,004",,"40,377","32,178","258,568",
110年5月,"8,118,310",67.18%,69.06%,0.33%,"412,809","551,820","788,175","802,501","636,573","503,457","231,350","219,409","252,278","9,210","62,451","552,173","7,121",,,"26,285","645,216","6,922","188,374","116,821","7,449","14,698","45,432","143,204","183,988","71,520","32,713","96,762","42,379","158,733","246,750","442,441","40,528","24,922","219,830",,"41,048","32,713","260,253",
110年6月,"8,208,125",67.38%,69.31%,0.32%,"413,532","559,890","795,672","818,228","640,349","501,670","232,229","225,570","256,934","8,598","62,628","556,268","7,177",,,"25,316","648,334","7,074","188,284","121,539","7,528","14,719","47,440","145,575","184,443","73,491","32,935","100,927","41,169","165,666","251,030","449,824","40,970","25,109","232,117",,"40,797","32,095","253,000",
110年7月,"8,288,639",67.36%,69.37%,0.31%,"417,964","560,881","801,741","825,476","645,735","509,984","231,504","233,074","258,991","9,019","62,877","553,313","7,652",,,"25,388","658,223","7,074","188,096","121,962","7,591","15,104","48,436","143,809","186,812","75,498","33,010","101,238","43,406","166,599","253,105","458,763","41,301","24,922","230,996",,"40,752","32,589","265,754",
110年8月,"8,393,176",67.20%,69.18%,0.29%,"423,510","563,330","810,659","838,998","648,374","523,934","233,987","237,051","260,320","8,917","63,915","562,951","7,961",,,"25,747","664,776","7,110","186,996","123,374","7,745","15,378","52,520","145,597","190,060","76,047","33,256","101,985","44,944","166,025","256,056","462,907","43,134","27,658","226,663",,"40,801","34,089","276,402",
110年9月,"8,468,041",67.40%,69.40%,0.27%,"431,756","563,964","818,368","848,406","660,001","528,651","236,622","243,577","260,442","8,947","64,173","567,524","8,117",,,"26,202","670,968","7,108","186,605","123,965","7,808","15,480","52,878","143,490","192,998","76,355","33,394","103,964","46,103","171,554","255,789","465,363","42,459","30,349","232,852",,"40,719","34,369","266,719",
110年10月,"8,518,347",67.44%,69.48%,0.27%,"429,310","561,555","819,519","848,803","663,286","530,876","238,737","250,111","262,308","8,767","64,005","575,463","8,388",,,"26,776","667,373","7,109","185,302","126,199","8,060","15,706","52,793","142,888","194,886","76,432","33,922","105,142","47,582","170,092","259,472","469,754","42,438","29,782","237,670",,"40,944","34,884","282,013",
110年11月,"8,570,866",67.61%,69.69%,0.29%,"429,391","560,750","820,613","854,212","676,678","534,266","243,043","251,641","266,442","9,141","63,939","575,692","8,044",,,"26,888","673,838","7,186","186,390","129,383","9,094","15,628","52,866","149,993","193,906","77,723","34,150","104,406","44,915","170,528","261,170","468,449","42,375","29,732","237,718",,"40,765","35,899","284,010",
110年12月,"8,688,721",68.48%,70.83%,0.27%,"433,219","566,896","824,096","866,451","692,193","543,966","249,618","255,646","270,202","9,254","65,703","596,566","7,336",,,"27,978","709,252","7,323","188,574","126,001","8,013","16,184","53,247","157,250","196,937","77,294","34,173","107,318","44,623","170,102","255,763","469,705","44,692","29,344","231,049",,"41,504","37,525","273,723",
111年1月,"8,716,742",67.47%,69.91%,0.25%,"425,881","575,684","826,240","862,846","694,194","536,937","250,285","262,825","271,689","9,192","65,951","591,972","7,455",,,"26,760","688,675","7,296","189,164","128,705","8,081","16,772","56,344","158,030","196,057","78,593","34,460","112,174","49,957","171,115","261,325","476,824","45,089","29,415","238,414",,"41,803","37,284","283,253",
111年2月,"8,757,836",67.83%,70.29%,0.26%,"426,342","576,297","824,182","868,185","694,046","543,468","251,890","263,477","274,340","8,868","67,031","591,462","7,352",,,"27,331","690,720","7,221","189,516","129,547","19,288","16,882","56,329","159,180","197,949","78,361","34,432","113,197","50,446","170,489","261,977","478,052","45,973","29,291","241,679",,"40,595","37,017","285,423",
111年3月,"8,797,266",67.86%,70.56%,0.26%,"423,678","569,362","823,966","864,506","703,489","547,715","250,941","265,479","278,907","8,972","65,114","591,673","6,735",,,"29,067","695,610","6,985","190,109","130,860","19,956","17,424","57,925","157,897","200,217","78,944","34,531","115,565","52,463","170,398","268,326","483,486","47,290","30,083","248,050",,"40,644","38,547","282,351",
111年4月,"8,858,094",67.85%,70.58%,0.26%,"419,150","579,867","824,884","872,933","705,801","550,659","248,837","271,075","283,026","9,364","65,490","590,117","6,391",,,"29,866","695,277","6,830","189,595","131,799","19,551","17,571","59,806","154,946","201,722","79,340","34,838","117,791","53,222","170,479","272,841","489,503","48,214","29,712","257,674",,"39,383","37,467","293,073",
111年5月,"8,935,366",67.76%,70.52%,0.27%,"420,709","587,265","819,959","886,447","709,586","549,606","249,685","273,032","288,839","8,907","66,985","604,958","6,100",,,"32,004","698,205","6,642","193,012","132,445","18,938","17,739","60,649","156,448","203,198","80,361","35,439","119,989","56,452","163,713","278,930","488,469","48,748","29,171","260,944",,"39,949","38,542","303,301",
111年6月,"9,008,523",67.70%,70.62%,0.27%,"425,673","591,739","823,955","895,395","712,560","568,388","255,202","274,545","287,384","9,522","68,012","625,195","5,546",,,"32,215","712,622","6,397","193,334","133,000","18,894","17,672","58,066","159,529","204,613","80,748","35,711","121,028","56,387","165,933","274,005","487,531","47,723","27,972","255,224",,"40,874","41,071","294,857",
111年7月,"9,063,656",66.50%,69.92%,0.27%,"423,622","596,239","828,780","901,261","696,072","568,581","255,068","272,938","286,987","9,374","67,968","626,272","5,330",,,"32,587","711,137","6,177","191,691","135,470","20,894","18,097","61,149","161,284","205,758","83,233","35,871","122,718","58,544","167,355","285,882","493,190","49,681","28,487","266,097",,"38,423","41,636","309,803",
111年8月,"9,089,867",65.40%,68.80%,0.27%,"429,701","600,277","832,805","909,799","679,743","573,152","258,861","271,648","287,694","9,583","67,790","626,166","5,737",,,"32,404","715,026","5,803","188,833","136,098","21,522","18,260","63,723","160,797","207,812","84,258","36,248","124,017","60,479","166,409","292,740","494,174","51,253","30,030","258,548",,"38,866","42,868","306,743",
111年9月,"9,134,821",65.14%,68.93%,0.26%,"431,897","604,496","842,316","905,238","673,356","583,483","265,060","274,912","291,049","9,509","68,733","627,420","6,084",,,"33,088","719,319","5,419","188,025","139,409","22,361","18,351","63,532","166,025","205,725","85,968","36,170","124,891","60,525","165,315","290,144","496,740","52,157","29,581","260,799",,"37,281","44,456","305,985",
111年10月,"9,178,520",64.72%,68.68%,0.27%,"440,921","605,205","839,609","913,870","665,033","575,206","267,136","277,968","290,925","9,557","69,397","622,395","6,105",,,"32,225","719,134","5,131","189,554","141,648","23,221","18,184","63,881","161,489","207,117","86,338","36,167","128,665","60,165","168,363","305,991","499,806","53,262","28,809","261,258",,"38,135","45,920","320,729",
111年11月,"9,214,696",64.73%,68.73%,0.26%,"436,825","607,046","836,315","914,015","666,629","572,511","270,943","276,153","300,620","9,490","71,882","623,540","6,212",,,"32,426","723,988","4,825","191,401","143,547","22,309","18,426","63,510","161,555","208,989","86,668","36,383","130,015","62,081","171,389","308,329","505,157","54,387","28,062","261,389",,"37,142","46,925","323,614",
