年月,總計,占全體企業放款餘額之比率,占民營企業放款餘額之比率,中小企業放款平均逾放比,臺灣銀行,臺灣土地銀行,合作金庫銀行,第一商業銀行,華南商業銀行,彰化商業銀行,上海商業儲蓄銀行,台北富邦銀行,國泰世華商業銀行,中國輸出入銀行,高雄銀行,兆豐國際商業銀行,花旗(台灣)銀行,澳盛銀行,中華開發工業銀行,王道商業銀行,臺灣中小企業銀行,渣打國際商業銀行,台中商業銀行,京城商業銀行,匯豐(台灣)銀行,瑞興商業銀行,華泰商業銀行,臺灣新光商業銀行,陽信商業銀行,板信商業銀行,三信商業銀行,聯邦商業銀行,遠東國際商業銀行,元大商業銀行,永豐商業銀行,玉山商業銀行,凱基商業銀行,星展(台灣)銀行,台新國際商業銀行,大眾商業銀行,日盛國際商業銀行,安泰商業銀行,中國信託商業銀行,樂天銀行
101年2月,"4,075,178",46.92%,51.10%,0.62%,"264,208","298,663","478,300","488,109","343,660","292,392","122,318","82,900","108,212","5,435","39,794","266,250","6,896",860,206,"3,935","350,826","21,412","100,457","18,353","3,003","3,186","26,824","79,930","37,348","21,305","14,081","27,800","10,752","77,073","87,602","163,412","14,023","21,453","55,033","3,795","14,936","51,654","68,782",
101年3月,"4,099,477",47.26%,51.32%,0.62%,"262,847","303,119","478,098","488,705","346,456","289,960","122,924","81,408","109,040","5,555","40,540","266,251","7,168",828,209,"3,869","351,186","21,223","103,532","18,715","2,738","3,392","26,975","83,265","40,452","21,355","13,939","28,176","11,749","74,109","90,473","167,502","14,344","21,474","56,600","5,641","14,811","52,199","68,650",
101年4月,"4,135,777",47.50%,51.56%,0.61%,"265,582","308,289","476,561","488,775","349,610","291,515","125,765","79,662","112,014","5,608","39,811","269,206","7,091",910,195,"3,243","346,750","21,074","105,221","19,989","2,769","3,284","29,163","87,126","41,655","21,063","14,047","28,781","11,195","78,632","92,883","170,101","14,249","21,262","57,902","8,107","14,575","51,134","70,978",
101年5月,"4,204,687",47.93%,51.90%,0.58%,"266,758","311,252","479,635","501,257","353,399","296,075","128,324","80,622","112,105","5,642","40,119","272,303","7,427","1,167",195,"3,198","349,853","21,128","108,327","21,240","2,841","3,278","30,120","90,991","42,845","20,824","14,543","29,534","11,623","79,966","96,199","175,217","14,091","21,571","60,402","10,400","14,574","52,280","73,362",
101年6月,"4,272,456",48.94%,52.96%,0.55%,"267,711","313,829","479,558","514,151","354,197","298,741","130,589","81,534","112,208","5,821","40,316","281,470","8,010","1,315",190,"3,229","352,638","20,880","111,694","21,511","3,010","3,258","30,283","95,297","45,911","21,351","14,913","29,903","11,671","81,092","103,231","177,444","14,449","22,127","64,001","10,868","14,557","52,694","76,804",
101年7月,"4,291,460",48.88%,53.00%,0.57%,"266,699","316,899","476,545","517,382","358,523","303,669","129,488","80,604","114,557","5,988","40,197","283,382","7,581","1,632",182,"2,861","356,066","20,259","113,003","21,048","2,907","3,190","29,756","96,745","47,578","21,540","15,068","30,152","11,543","79,879","105,470","177,572","15,056","21,883","60,337","11,360","14,697","49,794","80,368",
101年8月,"4,307,748",48.72%,52.72%,0.58%,"283,867","315,714","475,180","513,983","356,135","305,991","128,236","81,740","110,406","6,077","40,491","285,943","7,449","1,601",160,"2,028","354,556","19,939","114,279","22,809","2,995","3,122","29,459","98,177","48,932","22,127","15,389","29,561","11,246","81,599","102,678","179,806","14,775","22,342","60,765","11,713","13,791","50,944","81,743",
101年9月,"4,323,143",48.98%,52.81%,0.57%,"286,808","314,646","473,849","510,621","354,224","308,140","129,707","81,791","109,289","6,043","40,509","291,091","7,525","1,758",139,"2,022","356,876","19,936","115,126","22,823","2,877","3,113","29,401","99,982","50,689","22,040","15,699","30,334","12,157","80,818","105,506","180,391","14,631","23,274","60,103","12,982","13,984","49,098","83,141",
101年10月,"4,346,751",49.21%,52.96%,0.55%,"280,700","315,622","472,299","512,577","356,605","310,560","132,474","79,765","110,069","6,516","41,348","289,573","7,468","1,664",139,"2,043","357,342","19,860","121,791","24,617","3,012","3,075","28,983","102,224","50,055","21,672","15,597","30,746","12,462","79,489","106,640","183,587","14,558","23,575","62,603","13,472","14,913","50,978","86,078",
101年11月,"4,382,562",49.62%,53.37%,0.54%,"284,590","315,303","476,227","514,259","360,062","312,991","133,978","81,398","109,087","6,411","40,751","291,660","7,506","1,562",138,"1,969","361,253","19,944","124,619","24,361","3,272","3,112","28,559","105,677","50,816","21,725","15,816","30,920","13,111","79,899","109,973","186,286","13,684","22,634","62,028","14,382","15,009","50,461","87,129",
